日K基準,執行UTC,組合$,純A$,純趨勢$,A命中率,趨勢命中率,A燈,趨勢燈,forward天數
2026-07-12,2026-07-13 04:07,10000,10000,10000,55.0,51.1,🟢綠燈,🟡黃燈,0
2026-07-13,2026-07-14 03:33,9943,10025,9862,56.1,51.6,🟢綠燈,🟡黃燈,0
2026-07-14,2026-07-15 03:34,10079,9954,10200,55.0,51.7,🟢綠燈,🟡黃燈,1
2026-07-15,2026-07-16 03:37,10078,9948,10205,54.7,51.4,🟢綠燈,🟡黃燈,2
2026-07-16,2026-07-17 03:37,9979,9977,9975,55.0,49.6,🟢綠燈,🟡黃燈,3
2026-07-17,2026-07-18 03:31,9939,9951,9921,55.4,50.1,🟢綠燈,🟡黃燈,4
2026-07-18,2026-07-19 03:54,9985,9938,10025,55.6,52.8,🟢綠燈,🟢綠燈,5
2026-07-19,2026-07-20 04:04,10008,9936,10074,54.9,52.4,🟢綠燈,🟢綠燈,6
2026-07-20,2026-07-21 03:45,10078,9925,10225,54.0,52.8,🟢綠燈,🟢綠燈,7
