日K,總權益$,A腿$,趨勢腿$,總報酬%,A淨曝險,趨勢投入,當日換手A,當日換手T
2026-07-13,9997.86,4998.93,4998.93,-0.02,-0.161,0.667,0.161,0.667
2026-07-14,10133.39,5066.69,5066.69,1.33,-0.189,1.0,0.04,0.343
2026-07-15,10133.4,5066.7,5066.7,1.33,-0.141,1.0,0.059,0.004
2026-07-16,10033.5,5016.75,5016.75,0.33,-0.134,0.667,0.01,0.337
2026-07-17,9993.63,4996.82,4996.82,-0.06,-0.085,1.0,0.06,0.337
2026-07-18,10039.85,5019.92,5019.92,0.4,-0.061,1.0,0.034,0.0
2026-07-19,10063.6,5031.8,5031.8,0.64,-0.088,1.0,0.028,0.0
2026-07-20,10133.55,5066.78,5066.78,1.34,-0.13,1.0,0.057,0.006
2026-07-21,10186.86,5093.43,5093.43,1.87,-0.134,1.0,0.032,0.005
2026-07-22,10177.88,5088.94,5088.94,1.78,-0.139,1.0,0.061,0.003
